name,realtime_docker,realtime_native
similarity,338,178
similarity,6517,5677
similarity,5723,5704
similarity,6370,5737
similarity,5751,5896
similarity,6567,5767
similarity,6173,5744
similarity,5892,5766
similarity,6184,5735
similarity,6026,5709
similarity,5921,5789
similarity,1715,1434
similarity,1874,1371
similarity,1887,1379
similarity,1683,1400
similarity,1853,1381
similarity,2167,1370
similarity,1698,1369
similarity,1580,1388
similarity,1719,1381
similarity,1755,1384
similarity,981,535
similarity,696,505
similarity,920,509
similarity,791,514
similarity,737,518
similarity,1163,498
similarity,928,507
similarity,785,510
similarity,995,493
similarity,542,516
similarity,1201,833
similarity,1081,792
similarity,1289,786
similarity,1136,790
similarity,1331,796
similarity,1219,785
similarity,1252,793
similarity,1291,796
similarity,1117,790
similarity,1026,795
similarity,621,436
similarity,673,410
similarity,907,408
similarity,877,424
similarity,841,403
similarity,829,404
similarity,481,406
similarity,688,413
similarity,795,404
similarity,800,410
similarity,5720,5315
similarity,5500,312
similarity,5178,5034
similarity,5338,4990
similarity,5155,420
similarity,5592,427
similarity,5399,5044
similarity,5047,5039
similarity,5159,5010
similarity,5523,334
similarity,517,381
similarity,692,312
similarity,697,324
similarity,711,312
similarity,701,315
similarity,926,316
similarity,359,318
similarity,870,309
similarity,705,313
similarity,622,320
similarity,585,377
similarity,276,244
similarity,803,246
similarity,636,255
similarity,277,249
similarity,276,245
similarity,260,250
similarity,450,247
similarity,409,252
similarity,282,248
similarity,1517,1073
similarity,1249,946
similarity,1050,938
similarity,1258,939
similarity,1412,951
similarity,1333,944
similarity,1489,941
similarity,1042,930
similarity,1256,937
similarity,1100,939
similarity,538,154
similarity,351,121
similarity,673,121
similarity,219,118
similarity,239,123
similarity,377,139
similarity,429,121
similarity,185,120
similarity,464,124
similarity,288,121
similarity,410,193
similarity,208,168
similarity,211,162
similarity,544,165
similarity,856,176
similarity,190,186
similarity,569,168
similarity,722,167
similarity,264,170
similarity,563,167
similarity,363,343
similarity,506,332
similarity,361,327
similarity,598,330
similarity,363,329
similarity,610,334
similarity,343,330
similarity,366,331
similarity,487,335
similarity,855,332
similarity,1975,1851
similarity,1824,1831
similarity,1891,1808
similarity,2071,1800
similarity,1917,1840
similarity,1834,1828
similarity,2070,1816
similarity,1926,1845
similarity,1874,1835
similarity,1895,1822
similarity,570,402
similarity,297,5093
similarity,833,381
similarity,620,389
similarity,493,460
similarity,287,362
similarity,365,372
similarity,564,339
similarity,641,425
similarity,351,422
similarity,927,837
similarity,640,463
similarity,747,440
similarity,934,466
similarity,644,365
similarity,870,466
similarity,376,461
similarity,411,391
similarity,507,528
similarity,718,5036
similarity,865,867
similarity,904,491
similarity,819,168
similarity,774,442
similarity,903,420
similarity,1146,443
similarity,1294,467
similarity,391,1655
similarity,630,1700
similarity,395,433
similarity,1029,2011
similarity,2005,1644
similarity,1795,1664
similarity,1834,191
similarity,1886,1751
similarity,1874,1689
similarity,1596,810
similarity,1597,434
similarity,1888,823
similarity,1627,1683
similarity,1782,1154
similarity,1422,207
similarity,488,470
similarity,930,185
similarity,976,788
similarity,1379,794
similarity,1029,1676
similarity,1114,170
similarity,845,515
similarity,588,805
